,file_name,Lcapito,call_time,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170331_185600.wav,TEST_0+1_20170331_185600.wav,0.0,,39.32639765957652,2017,400,277.5,2017-03-31 18:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170331_195600.wav,TEST_0+1_20170331_195600.wav,0.0,,36.46398750940679,2017,400,235.0,2017-03-31 19:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170331_205600.wav,TEST_0+1_20170331_205600.wav,0.0,,57.452391626388426,2017,400,246.0,2017-03-31 20:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170331_215600.wav,TEST_0+1_20170331_215600.wav,0.0,,37.09923895197407,2017,400,108.5,2017-03-31 21:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170331_225600.wav,TEST_0+1_20170331_225600.wav,0.0,,36.94381814578796,2017,400,194.5,2017-03-31 22:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170331_235600.wav,TEST_0+1_20170331_235600.wav,0.0,,48.32091828726208,2017,400,209.5,2017-03-31 23:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_005600.wav,TEST_0+1_20170401_005600.wav,0.0,,42.11732720107268,2017,400,158.5,2017-04-01 00:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_015600.wav,TEST_0+1_20170401_015600.wav,0.0,,40.61157975696369,2017,400,136.5,2017-04-01 01:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_025600.wav,TEST_0+1_20170401_025600.wav,0.0,,47.51098196233753,2017,400,3.0,2017-04-01 02:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_185700.wav,TEST_0+1_20170401_185700.wav,0.0,,30.798916347349447,2017,400,11.0,2017-04-01 18:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_195700.wav,TEST_0+1_20170401_195700.wav,0.0,,33.664477409680096,2017,400,99.0,2017-04-01 19:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_205700.wav,TEST_0+1_20170401_205700.wav,0.0,,42.88202272993124,2017,400,122.0,2017-04-01 20:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_215700.wav,TEST_0+1_20170401_215700.wav,0.0,,30.646829848541888,2017,400,214.5,2017-04-01 21:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_225700.wav,TEST_0+1_20170401_225700.wav,0.0,,33.140245044513186,2017,400,75.0,2017-04-01 22:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170401_235700.wav,TEST_0+1_20170401_235700.wav,0.0,,38.08760733270672,2017,400,92.0,2017-04-01 23:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170402_005700.wav,TEST_0+1_20170402_005700.wav,0.0,,48.69274333500535,2017,400,164.0,2017-04-02 00:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170402_015700.wav,TEST_0+1_20170402_015700.wav,0.0,,45.04945846621909,2017,400,239.0,2017-04-02 01:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170402_025700.wav,TEST_0+1_20170402_025700.wav,0.0,,58.41700083948256,2017,400,70.0,2017-04-02 02:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170402_185800.wav,TEST_0+1_20170402_185800.wav,0.0,,56.47453462408381,2017,400,243.0,2017-04-02 18:58:00
