File name,Date,Pond #,Sample start time,L. capito,gopher call time,notes (e.g. was there somethign that made it hard to hear the frogs) 
TEST_0+1_20200301_003400.wav,2020/03/01,400,34,0,,
TEST_0+1_20200301_013400.wav,2020/03/01,400,134,0,,
TEST_0+1_20200301_023400.wav,2020/03/01,400,234,0,,
TEST_0+1_20200301_183500.wav,2020/03/01,400,1835,0,3:49,"maybe? sounds a single frog, quiet, hard to hear due to large amount of background noise like traffic"
TEST_0+1_20200301_203500.wav,2020/03/01,400,2035,0,,
TEST_0+1_20200301_213500.wav,2020/03/01,400,2135,0,,
TEST_0+1_20200301_223500.wav,2020/03/01,400,2235,0,,
TEST_0+1_20200301_233500.wav,2020/03/01,400,2335,0,,
TEST_0+1_20200302_003500.wav,2020/03/02,400,35,0,,
TEST_0+1_20200302_013500.wav,2020/03/02,400,135,0,,
TEST_0+1_20200302_023500.wav,2020/03/02,400,235,0,,
TEST_0+1_20200302_183600.wav,2020/03/02,400,1836,0,,
TEST_0+1_20200302_193600.wav,2020/03/02,400,1936,0,,
TEST_0+1_20200302_203600.wav,2020/03/02,400,2036,0,,
TEST_0+1_20200302_213600.wav,2020/03/02,400,2136,0,,
TEST_0+1_20200302_223600.wav,2020/03/02,400,2236,0,,
TEST_0+1_20200302_233600.wav,2020/03/02,400,2336,0,,
TEST_0+1_20200303_003600.wav,2020/03/03,400,36,0,,
TEST_0+1_20200303_013600.wav,2020/03/03,400,136,0,,
TEST_0+1_20200303_023600.wav,2020/03/03,400,236,0,,
TEST_0+1_20200303_183600.wav,2020/03/03,400,1836,0,,
TEST_0+1_20220301_003400,2022/03/01,400,34,0,,
TEST_0+1_20220301_013400,2022/03/01,400,134,0,,
TEST_0+1_20220301_023400,2022/03/01,400,234,0,,
TEST_0+1_20220301_183400,2022/03/01,400,1834,0,,
TEST_0+1_20220301_193400,2022/03/01,400,1934,1,0:02,Perfect sound
TEST_0+1_20220301_203400,2022/03/01,400,2034,0,,
TEST_0+1_20220301_213400,2022/03/01,400,2134,0,,
TEST_0+1_20220301_223400,2022/03/01,400,2234,0,,
TEST_0+1_20220301_233400,2022/03/01,400,2334,0,,
TEST_0+1_20220302_003400,2022/03/02,400,34,0,,
TEST_0+1_20220302_003400,2022/03/02,400,34,0,,
TEST_0+1_20220302_183500,2022/03/02,400,1835,0,,
TEST_0+1_20220302_193500,2022/03/02,400,1935,0,,
TEST_0+1_20220302_203500,2022/03/02,400,2035,0,,
TEST_0+1_20220302_213500,2022/03/02,400,2135,0,,
TEST_0+1_20220302_223500,2022/03/02,400,2235,0,,
TEST_0+1_20220302_233500,2022/03/02,400,2335,0,,
TEST_0+1_20220303_003500,2022/03/03,400,35,0,,
TEST_0+1_20220303_013500,2022/03/03,400,135,0,,
TEST_0+1_20220303_023500,2022/03/03,400,235,0,,
TEST_0+1_20220303_183600,2022/03/03,400,1836,0,,
TEST_0+1_20220303_193600,2022/03/03,400,1936,0,,
TEST_0+1_20220303_203600,2022/03/03,400,2036,0,,
TEST_0+1_20220303_213600,2022/03/03,400,2136,0,,
TEST_0+1_20220303_223600,2022/03/03,400,2236,0,,
TEST_0+1_20220303_233600,2022/03/03,400,2336,0,,
TEST_0+1_20220304_003600,2022/03/04,400,36,0,,
TEST_0+1_20210310_234200.wav,2021/03/10,400,2342,0,,
TEST_0+1_20210310_224200.wav,2021/03/10,400,2242,0,,
TEST_0+1_20210310_214200.wav,2021/03/10,400,2142,0,,
TEST_0+1_20210310_204200.wav,2021/03/10,400,2042,1,0:20,
TEST_0+1_20210310_194200.wav,2021/03/10,400,1942,1,3:16,
TEST_0+1_20210310_184200.wav,2021/03/10,400,1842,0,,
TEST_0+1_20210310_174200.wav,2021/03/10,400,1742,1,0:35,
TEST_0+1_20210310_024100.wav,2021/03/10,400,0241,0,,
TEST_0+1_20210310_014100.wav,2021/03/10,400,0141,0,,
TEST_0+1_20210310_004100.wav,2021/03/10,400,0041,0,,
TEST_0+1_20210309_234100.wav,2021/03/09,400,2341,1,1:14,
TEST_0+1_20210309_224100.wav,2021/03/09,400,2241,0,,
TEST_0+1_20210309_214100.wav,2021/03/09,400,2141,1,2:23,
TEST_0+1_20210309_204100.wav,2021/03/09,400,2041,1,0:30,
TEST_0+1_20210309_194100.wav,2021/03/09,400,1941,0,,
TEST_0+1_20210309_184100.wav,2021/03/09,400,1841,0,,
TEST_0+1_20210309_174100.wav,2021/03/09,400,1741,0,,
TEST_0+1_20210309_024000.wav,2021/03/09,400,0240,0,,
TEST_0+1_20210309_014000.wav,2021/03/09,400,0140,0,,
TEST_0+1_20210309_004000.wav,2021/03/09,400,0040,0,,
TEST_0+1_20210308_234000.wav,2021/03/08,400,2340,0,,
TEST_0+1_20210308_224000.wav,2021/03/08,400,2240,1,0:20,
TEST_0+1_20210308_214000.wav,2021/03/08,400,2140,1,0:07,
TEST_0+1_20210308_204000.wav,2021/03/08,400,2040,1,2:43,
TEST_0+1_20210308_194000.wav,2021/03/08,400,1940,1,0:32,
TEST_0+1_20210308_184000.wav,2021/03/08,400,1840,0,,
TEST_0+1_20210308_174000.wav,2021/03/08,400,1740,0,,
TEST_0+1_20210308_023900.wav,2021/03/08,400,0239,0,,
TEST_0+1_20210308_013900.wav,2021/03/08,400,0139,0,,
TEST_0+1_20210308_003900.wav,2021/03/08,400,0039,1,0:11,
TEST_0+1_20210307_233900.wav,2021/03/07,400,2339,1,2:47,
TEST_0+1_20210307_223900.wav,2021/03/07,400,2239,1,0:15,
TEST_0+1_20210307_213900.wav,2021/03/07,400,2139,1,0:00,
TEST_0+1_20210307_203900.wav,2021/03/07,400,2039,1,0:00,
TEST_0+1_20210307_193900.wav,2021/03/07,400,1939,1,0:00,
TEST_0+1_20210307_183900.wav,2021/03/07,400,1839,0,,
TEST_0+1_20210307_173900.wav,2021/03/07,400,1739,0,,
TEST_0+1_20210307_023900.wav,2021/03/07,400,0239,0,,
TEST_0+1_20210307_013900.wav,2021/03/07,400,0139,0,,
TEST_0+1_20210307_003900.wav,2021/03/07,400,0039,1,0:00,
TEST_0+1_20210306_233900.wav,2021/03/06,400,2339,1,0:00,
TEST_0+1_20210306_223900.wav,2021/03/06,400,2239,1,0:29,
TEST_0+1_20210306_213900.wav,2021/03/06,400,2139,1,0:00,
TEST_0+1_20210306_203900.wav,2021/03/06,400,2039,1,0:09,
TEST_0+1_20210306_193900.wav,2021/03/06,400,1939,1,0:00,
TEST_0+1_20210306_183900.wav,2021/03/06,400,1839,0,,
TEST_0+1_20210306_173900.wav,2021/03/06,400,1739,0,,
TEST_0+1_20210306_023800.wav,2021/03/06,400,0238,1,0:29,
TEST_0+1_20210306_013800.wav,2021/03/06,400,0238,1,0:28,
TEST_0+1_20210306_003800.wav,2021/03/06,400,0038,1,0:00,
TEST_0+1_20210305_233800.wav,2021/03/05,400,2338,1,0:02,
TEST_0+1_20210305_223800.wav,2021/03/05,400,2238,1,0:00,
TEST_0+1_20210305_213800.wav,2021/03/05,400,2138,1,0:00,
TEST_0+1_20210305_203800.wav,2021/03/05,400,2038,1,0:00,
TEST_0+1_20210305_193800.wav,2021/03/05,400,1938,1,0:00,
TEST_0+1_20210305_183800.wav,2021/03/05,400,1838,0,,
TEST_0+1_20210305_173800.wav,2021/03/05,400,1738,0,,
TEST_0+1_20210305_023700.wav,2021/03/05,400,0237,0,,
TEST_0+1_20210305_013700.wav,2021/03/05,400,0137,1,1:15,
TEST_0+1_20210305_003700.wav,2021/03/05,400,0037,1,0:00,
TEST_0+1_20210304_233700.wav,2021/03/04,400,2337,1,0:00,
TEST_0+1_20210304_223700.wav,2021/03/04,400,2237,1,0:00,
TEST_0+1_20210304_213700.wav,2021/03/04,400,2137,1,0:00,
TEST_0+1_20210304_203700.wav,2021/03/04,400,2037,1,0:00,
TEST_0+1_20210304_193700.wav,2021/03/04,400,1937,1,0:00,
TEST_0+1_20210304_183700.wav,2021/03/04,400,1837,0,,
TEST_0+1_20210304_173700.wav,2021/03/04,400,1737,0,,
TEST_0+1_20210304_023600.wav,2021/03/04,400,0236,0,,
TEST_0+1_20210304_013600.wav,2021/03/04,400,0136,0,,
TEST_0+1_20210304_003600.wav,2021/03/04,400,0036,1,0:00,
TEST_0+1_20210303_233600.wav,2021/03/03,400,2336,1,0:00,
TEST_0+1_20210303_223600.wav,2021/03/03,400,2236,1,0:00,
TEST_0+1_20210303_213600.wav,2021/03/03,400,2136,1,0:34,
TEST_0+1_20210303_203600.wav,2021/03/03,400,2036,1,0:00,
TEST_0+1_20210303_193600.wav,2021/03/03,400,1936,1,0:00,
TEST_0+1_20190312_004200,2019/03/12,400,0042,1,0:07,Clear sound of Gopher Frog
TEST_0+1_20190311_234200,2019/03/11,400,2342,1,0:17,Difficult to hear due traffic or plane flying over.
TEST_0+1_20190311_224200,2019/03/11,400,2242,1,0:01,Able to hear Gopher Frog at beginning of recording
TEST_0+1_20190311_214200,2019/03/11,400,2142,1,1:01,People are having a discussion in this recording
TEST_0+1_20190311_204200,2019/03/11,400,2042,1,0:01,Can hear gopher frog at the begininng of the recording but there is animals as well.
TEST_0+1_20190311_194200,2019/03/11,400,1942,1,0:01,Can hea gopher frog clear and concise at beginnning of recording
TEST_0+1_20190311_184200,2019/03/11,400,1842,0,N/A,Could not hear gopher frog in recording. Many different other animals in recording
TEST_0+1_20190311_024100,2019/03/11,400,0241,1,0:07,Was able to pick out gopher frog sound out of many other animal sounds
TEST_0+1_20190311_014100,2019/03/11,400,0141,1,0:07,Other animals in recording but can easily pick out gopher frog
TEST_0+1_20190311_004100,2019/03/11,400,0041,1,0.09,Other frog sounds occur but able to pick out gopher frog sound
TEST_0+1_20190310_234100,2019/03/10,400,2341,1,0:07,Able to clearly hear gopher frog
