,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150314_231500.wav,260.0821722931506,2015,7a,286.5,2015-03-14 23:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-19-15/20150321_221900.wav,255.43306354863424,2015,10a,274.5,2015-03-21 22:19:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150313_231400.wav,189.7409660746328,2015,7a,101.0,2015-03-13 23:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-19-15/20150322_232000.wav,156.86118137853563,2015,10a,13.0,2015-03-22 23:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150319_221900.wav,147.24601961844735,2015,8a,297.5,2015-03-19 22:19:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150313_221400.wav,144.24617428259666,2015,7a,285.0,2015-03-13 22:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150314_001400.wav,137.76611621899193,2015,7a,269.0,2015-03-14 00:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150306_231000.wav,127.31757094779871,2015,6a,207.5,2015-03-06 23:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150224_000100.wav,113.96080030382524,2015,9a,153.5,2015-02-24 00:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-2-15/20150205_214700.wav,103.21756362723514,2015,10a,291.5,2015-02-05 21:47:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150313_211400.wav,100.35213340526144,2015,7a,9.5,2015-03-13 21:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_191000.wav,95.12030639284136,2015,10a,34.0,2015-03-06 19:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_201000.wav,91.2768938089316,2015,10a,133.0,2015-03-06 20:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150307_001000.wav,90.55740289305388,2015,6a,119.5,2015-03-07 00:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150216_225600.wav,88.5871922400255,2015,6a,21.0,2015-02-16 22:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150218_195700.wav,86.65021601844374,2015,6a,120.5,2015-02-18 19:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150320_211900.wav,85.0668597176168,2015,8a,80.5,2015-03-20 21:19:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-12-15/20150314_201500.wav,84.25360717057985,2015,8a,235.5,2015-03-14 20:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/4-16-15/20150416_223700.wav,84.0862021990782,2015,6a,31.5,2015-04-16 22:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150223_230100.wav,81.93409036709926,2015,9a,69.5,2015-02-23 23:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_211000.wav,80.92539331185345,2015,10a,186.0,2015-03-06 21:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150308_221100.wav,80.01185746560296,2015,10a,134.0,2015-03-08 22:11:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-5-15/20150305_200900.wav,79.76592409950247,2015,9a,271.5,2015-03-05 20:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150224_190200.wav,79.04759172884351,2015,9a,298.0,2015-02-24 19:02:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-4-15/20150607_211000.wav,78.86282832659214,2015,6a,295.5,2015-06-07 21:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150322_232000.wav,78.14164924664115,2015,8a,230.5,2015-03-22 23:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150321_212000.wav,78.13300997036386,2015,8a,252.5,2015-03-21 21:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-19-15/20150321_202000.wav,78.0145678252009,2015,9a,4.5,2015-03-21 20:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150312_201400.wav,76.80519463793368,2015,10a,131.5,2015-03-12 20:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/4-30-15/20150504_204900.wav,76.29801733602694,2015,9a,134.0,2015-05-04 20:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_231000.wav,75.91598802356025,2015,10a,48.0,2015-03-06 23:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150321_202000.wav,75.28817632901207,2015,8a,264.5,2015-03-21 20:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150315_001500.wav,75.07516082572702,2015,10a,111.5,2015-03-15 00:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/6-25-15/20150630_001600.wav,74.58750527889993,2015,8a,156.0,2015-06-30 00:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150216_195600.wav,73.13011070704434,2015,6a,243.5,2015-02-16 19:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/6-25-15/20150629_221600.wav,72.80082149110163,2015,7a,129.5,2015-06-29 22:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/4-9-15/20150411_003300.wav,72.52284399347546,2015,9a,249.5,2015-04-11 00:33:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150203_004400.wav,71.50728558735804,2015,6a,190.5,2015-02-03 00:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/4-16-15/20150418_203800.wav,70.94829760437558,2015,8a,69.0,2015-04-18 20:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150223_220100.wav,70.78095891146722,2015,9a,29.5,2015-02-23 22:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-12-15/20150316_001600.wav,70.6952194733347,2015,8a,128.0,2015-03-16 00:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/4-30-15/20150502_214800.wav,70.57747480657419,2015,9a,149.0,2015-05-02 21:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/5-14-15/20150516_235700.wav,70.14628397566044,2015,6a,121.0,2015-05-16 23:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-12-15/20150315_001500.wav,70.09588935050255,2015,8a,41.5,2015-03-15 00:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/6-11-15/20150615_221300.wav,69.83424094300561,2015,7a,139.0,2015-06-15 22:13:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150225_200300.wav,69.65831111619202,2015,9a,262.5,2015-02-25 20:03:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-2-15/20150202_184400.wav,69.46925313157789,2015,10a,4.5,2015-02-02 18:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150315_211600.wav,69.28541955006813,2015,10a,149.5,2015-03-15 21:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150202_204400.wav,68.37148805334158,2015,6a,196.5,2015-02-02 20:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-2-15/20150204_204600.wav,67.91557447790684,2015,9a,71.5,2015-02-04 20:46:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/4-9-15/20150412_003400.wav,67.51763594287031,2015,6a,34.0,2015-04-12 00:34:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150314_211500.wav,67.43490075293474,2015,7a,161.0,2015-03-14 21:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/4-9-15/20150409_233200.wav,66.66691523522331,2015,9a,125.5,2015-04-09 23:32:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150227_000400.wav,66.13962216956118,2015,6a,88.5,2015-02-27 00:04:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150315_221600.wav,65.89586305417924,2015,10a,260.0,2015-03-15 22:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-4-15/20150607_231000.wav,65.72500230098478,2015,6a,291.0,2015-06-07 23:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150224_200200.wav,65.68667968109015,2015,9a,105.5,2015-02-24 20:02:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150217_005600.wav,65.60453066859108,2015,6a,213.0,2015-02-17 00:56:00
