,site,NAAMP,file_name,folder_date,Lcapito,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150513_005400.wav,W03,1,20150513_005400,5-8-15,False,10.653684493626436,2015,9a,73.0,2015-05-13 00:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150512_235400.wav,W03,1,20150512_235400,5-8-15,False,10.672764876004624,2015,9a,287.0,2015-05-12 23:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150512_225400.wav,W03,1,20150512_225400,5-8-15,False,6.552063019259152,2015,9a,263.0,2015-05-12 22:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150512_215400.wav,W03,1,20150512_215400,5-8-15,False,24.626136710077088,2015,9a,71.5,2015-05-12 21:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150512_205400.wav,W03,1,20150512_205400,5-8-15,False,33.62966561924531,2015,9a,81.5,2015-05-12 20:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150512_005400.wav,W03,1,20150512_005400,5-8-15,False,11.587870155083731,2015,9a,249.5,2015-05-12 00:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150511_235400.wav,W03,1,20150511_235400,5-8-15,False,7.098645988229884,2015,9a,245.0,2015-05-11 23:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150511_225400.wav,W03,1,20150511_225400,5-8-15,False,17.08165318878678,2015,9a,15.0,2015-05-11 22:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150511_215400.wav,W03,1,20150511_215400,5-8-15,False,9.636049079479404,2015,9a,201.5,2015-05-11 21:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150511_205400.wav,W03,1,20150511_205400,5-8-15,False,45.649877511420186,2015,9a,254.5,2015-05-11 20:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150511_005300.wav,W03,1,20150511_005300,5-8-15,False,56.22761392633579,2015,9a,106.0,2015-05-11 00:53:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150510_235300.wav,W03,1,20150510_235300,5-8-15,False,5.754606292496207,2015,9a,97.0,2015-05-10 23:53:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150510_225300.wav,W03,2,20150510_225300,5-8-15,False,15.989819724245727,2015,9a,292.0,2015-05-10 22:53:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150510_215300.wav,W03,2,20150510_215300,5-8-15,False,18.703031524347097,2015,9a,295.5,2015-05-10 21:53:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150510_205300.wav,W03,1,20150510_205300,5-8-15,False,26.195402349591816,2015,9a,83.5,2015-05-10 20:53:00
